INFO 2025-12-12 14:22:09,248 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:37:07,799 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,800 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,799 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,801 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,815 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,821 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-12-12 14:37:07,824 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-12-12 14:37:20,251 log "GET /admin/appone/companyprofile/ HTTP/1.1" 200 15902
INFO 2025-12-12 14:37:20,296 log "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2025-12-12 14:37:20,300 log "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-12-12 14:37:20,300 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-12-12 14:37:20,306 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-12-12 14:37:20,315 log "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-12-12 14:37:20,321 log "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-12-12 14:37:20,323 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-12-12 14:37:20,328 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-12-12 14:37:20,330 log "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2025-12-12 14:37:20,332 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-12-12 14:37:20,335 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:37:20,340 log "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-12-12 14:37:20,357 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2025-12-12 14:37:20,357 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2025-12-12 14:37:25,614 log "GET /admin/appone/user/ HTTP/1.1" 200 18078
INFO 2025-12-12 14:37:25,649 log "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2025-12-12 14:37:25,649 log "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 645
INFO 2025-12-12 14:37:25,654 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:37:25,675 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2025-12-12 14:37:28,617 log "GET /admin/appone/user/99a3ef94-30aa-47fe-8352-3f941cc29cd9/change/ HTTP/1.1" 200 29011
INFO 2025-12-12 14:37:28,646 log "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-12-12 14:37:28,647 log "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2025-12-12 14:37:28,648 log "GET /static/admin/css/forms.css HTTP/1.1" 200 8844
INFO 2025-12-12 14:37:28,648 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-12-12 14:37:28,651 log "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2025-12-12 14:37:28,651 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:37:28,660 log "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-12-12 14:37:28,699 log "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2025-12-12 14:37:51,655 log "POST /admin/appone/user/99a3ef94-30aa-47fe-8352-3f941cc29cd9/change/ HTTP/1.1" 302 0
